category,display_category,count
飲食店,グルメ・飲食,258
衣料品店,ショッピング,38
美容室,美容・健康,32
ドラッグストア,コンビニ・スーパー,24
カフェ,グルメ・飲食,24
生活雑貨,ショッピング,23
健康・医療,美容・健康,20
ベーカリー,グルメ・飲食,18
コンビニ,コンビニ・スーパー,17
自動車修理,クルマ,12
酒店,グルメ・飲食,11
建設・工事,住まい・暮らし,11
花屋,住まい・暮らし,10
ガス・エネルギー,住まい・暮らし,10
電器店,住まい・暮らし,9
葬儀場,その他,8
宝飾店,ショッピング,7
バー,グルメ・飲食,7
ガソリンスタンド,クルマ,6
カラオケ,エンタメ・レジャー,6
化粧品,ショッピング,5
自動車販売,クルマ,5
ショッピングモール,ショッピング,5
文具・書道,ショッピング,4
学校・教育,教育・習い事,4
靴店,ショッピング,4
スポーツ用品,ショッピング,4
タクシー,交通,4
農産物直売所,グルメ・飲食,3
宿泊施設,宿泊,3
ホームセンター・園芸,住まい・暮らし,3
内装・建材,住まい・暮らし,3
書店,ショッピング,3
スパ・エステ,美容・健康,3
クリーニング,サービス,3
ゴルフ練習場,エンタメ・レジャー,3
ギャラリー,エンタメ・レジャー,2
ジム,エンタメ・レジャー,2
ボウリング,エンタメ・レジャー,2
写真スタジオ,サービス,2
PC・修理,サービス,2
おもちゃ・模型,ショッピング,2
スポーツ施設,エンタメ・レジャー,2
刃物・調理器具,ショッピング,2
医療機関,美容・健康,2
釣具,ショッピング,2
自転車,ショッピング,2
百貨店,ショッピング,1
リフォーム,住まい・暮らし,1
ダンス教室,教育・習い事,1
手芸・裁縫,ショッピング,1
屋根工事,住まい・暮らし,1
旅行代理店,サービス,1
質屋,サービス,1
贈答品・ギフト,ショッピング,1
印刷・広告,サービス,1
レンタカー,クルマ,1
家具店,住まい・暮らし,1
自然,その他,1
ペット,サービス,1
スーパー,コンビニ・スーパー,1
食料品店,グルメ・飲食,1
音楽教室,教育・習い事,1
電気工事,住まい・暮らし,1
その他,その他,1
