店舗名称,住所
飯塚地区,
メリーズラム,潤野
Dr Hair Smiley,柏の森
井筒屋飯塚ショップ,菰田西
ＢＡＲＢＥ,新飯塚
しらゆり会館飯塚・鯰田会場,鯰田
陶房 八木山 青空間,八木山
車力,相田
林檎の木,潤野
どんどん亭 柏の森店,柏の森
江藤時計店本店,菰田西
深見時計店,新飯塚
セブンイレブン飯塚鯰田上町店,鯰田
農楽園八木山,八木山
でんきのパワフル相田店,相田
メガネのＷＡＤＡ,潤野
ハローデイ柏の森店,柏の森
大阪王将 ゆめタウン飯塚店,菰田西
ホワイトニングショップ飯塚店,新飯塚
ATAGOふれあいマーケット,鯰田
ドラッグストアコスモス花瀬店,横田
湊屋（みなとや）,相田
飛鳥会館,片島
PATISSERIE Doux,柏の森
リフォームおはりばこ,菰田西
パーソナルトレーニングスタジオ ボディブレイス,新飯塚
ヨガ、エステサロンs.f &c野上愛子,鯰田
第一タイヤサービス,横田
喜酒楽膳あぐら,飯塚
㈱エコライフ福岡,片島
(株)本河住建,柏の森
KAIKA ゆめタウン飯塚店,菰田西
旬楽みささ,新飯塚
ヘアーサロンムラカミ,鯰田
ノエビア福岡南販売,横田
WHISKY AJOTSSI,飯塚
玉翠堂,片島
祭りばやし,柏の森
からあげ大将飯塚本店,菰田西
ご馳走家むつごろう,新飯塚
いづみや,西徳前
パンセ 横田店,横田
魚茂鮮魚店,飯塚
パドドゥ・ル・コトブキ,片島
ミシンのオズ西日本ミシン販売,柏の森
カメラのキタムラ ゆめタウン飯塚店,菰田西
時計宝石眼鏡ムカイダ,新飯塚
珈琲焙煎工房 まめや福岡ユタカ,西徳前
藤﨑建築,横田
魚佐,飯塚
第一ボウル,片島
無印良品かやの森,柏の森
ニュウファッション神戸,菰田西
炭火串焼弥一,新飯塚
庄屋飯塚店,西徳前
ＰＯＬＡアメリーズ店,横田
インテリアクラヤ,飯塚
中央モータース,片島
レストラン明治屋,柏の森
合屋電器店,菰田西
手づくりケーキラ・パレット,新飯塚
グーテンターク,西町
ミスターマックス飯塚花瀬店,横田
倉掛米穀店,飯塚
ドコモショップ飯塚店,片島
モスバーガー飯塚かやの森店,柏の森
サーティワンアイスクリーム ゆめタウン飯塚店,菰田西
赤崎牛ダイニング リヤン,新飯塚
居酒屋 たーぶる,西町
みそらぼ,横田
餃子とサワー 月光,飯塚
Ｈｉｙｏｒｉ,片島
もつ鍋 やじろべえ飯塚店,柏の森
庄屋ゆめタウン飯塚店,菰田西
のがみプレジデントホテル 中国料理のがみ大飯店,新立岩
ノエビア新飯塚販売会社,西町
（有）建築工房やました屋,横田
肉の神戸屋,飯塚
三星石油,片島
酒菜よし葉,柏の森
手づくりパン工房スピカ,菰田西
のがみプレジデントホテル 和食処 日本海,新立岩
ビアレストラン Ｂーｓｐｏｔ,西町
龍王ガス,横田
学生服のタナカ,飯塚
室井酒店,片島
カラオケ＆カフェ ＲＥＶＯ,柏の森
スタジオマリオ ゆめタウン飯塚店,菰田西
のがみプレジデントホテル,新立岩
山野愛子どろんこ美容＆Relax Plus,西町
あぐらの離れ,芳雄町
高取金物店,飯塚
リンガーハット飯塚水江店,片島
ワイズキッチン,柏の森
Zoff Marche ゆめタウン飯塚,菰田西
古谷金物店,新立岩
コトツキ、,花瀬
スーパーマーケットASO新飯塚店,芳雄町
田中糸店,飯塚
手造りバーガーショップ レイダック,片島
タイヤガーデンBーWAVE,川島
筑豊葬祭飯塚本社斎場,菰田西
アルソア Ｄｏ,立岩
ジャーマンベーカリー飯塚花瀬店,花瀬
上島珈琲店飯塚病院店,芳雄町
だがしのお店だがシステム,飯塚
ロイヤルホスト飯塚店,片島
グッデイ飯塚店,川島
筑豊葬祭セレモニーヴィラ飯塚,菰田西
焼肉王城飯塚店,立岩
セブンイレブン飯塚花瀬店,花瀬
サンエトワール新飯塚店,芳雄町
濃厚生乳ソフトクリーム専門店だがソフ,飯塚
アントス（株）,上三緒
arukーある暮らしー,川津
TeaWayゆめタウン飯塚店,菰田西
クイックショット,立岩
ゆめマート花瀬,花瀬
花和,芳雄町
天喜,飯塚
佐藤商店,上三緒
アールテックシステム株式会社,川津
トップワンカフェ,菰田西
寺子屋 ZEN,立岩
居酒屋味坊,東徳前
パンセ アミエ店,芳雄町
ともや玩具店,飯塚
しらゆり会館飯塚・上三緒会場,上三緒
アンコルド パン,川津
ニトリデコホーム ゆめタウン飯塚店,菰田西
ツルハドラッグ新飯塚店,立岩
居酒屋二代目きんぐ,東徳前
ローソン飯塚病院店,芳雄町
和風ダイニングとし,飯塚
スーパーセンタートライアル上三緒店,上三緒
メガネのアイ・ルック,川津
パスタトピザ ゆめタウン飯塚店,菰田西
フードウェイ新飯塚店,立岩
アベタ・ソレイユ/ヴァーグ,本町
R－GARDEN+,吉原町
ジーンズショップナカムラ,飯塚
ふらんす料理 平野,上三緒
パティスリー エスポワール,川津
パリミキ ゆめタウン飯塚店,菰田西
飯塚瓦工業,鶴三緒
炭火焼鳥あらた,本町
（一社）飯塚観光協会,吉原町
花のフジモト,飯塚
パンとお菓子の店Fille de ble’,上三緒
オーラッキーズクラブ,川津
ひよ子本舗吉野堂 ゆめタウン飯塚店,菰田西
かほ兵衛の台所,鶴三緒
ヴィタリコ飯塚店,本町
大賀薬局飯塚あいタウン店,吉原町
パブ珈琲園,飯塚
ミスタータイヤマンパドック飯塚,上三緒
焼肉レストラン牛仙,川津
ボンフカヤ ゆめタウン飯塚店,菰田西
焼肉のすから,鶴三緒
熾火ト酒,本町
かめ屋質店,吉原町
フジイ進物店,飯塚
もりまさ薬局,上三緒
げんき屋,川津
マックハウスゆめタウン飯塚店,菰田西
セブンイレブン飯塚鶴三緒店,鶴三緒
佐藤眼鏡店(メガネのサトー),本町
やきとりの炭活,吉原町
Cut in Murashi,飯塚
居酒屋落花生,上三緒
aruk cafe,川津
マルイチ商会,菰田西
寿司海鮮和食処 やますい,鶴三緒
しまづ者,本町
ファミリーショップそうあい,吉原町
元野木書店,飯塚
おしゃれハウスアモ,柏の森
小林硝子店,川津
まるまんフィオーレ,菰田西
スーパーセンタートライアル飯塚店,徳前
ＲＲＲエンターテイメント,本町
鳥一,吉原町
矢野鮮魚店,飯塚
麻生塾スポーツガーデン,柏の森
サンドラッグ九工大前店,川津
八女茶の西村園茶舗 ゆめタウン飯塚店,菰田西
アルゾ飯塚幸袋店,中
炭バル ダブル,本町
内藤園あいタウン店,吉原町
ユゲデンキ,飯塚
麻生塾ボウル,柏の森
酒の昌屋,川津
ゆめタウン飯塚,菰田西
内山刃物,中
セブンイレブン飯塚本町店,本町
学生服のひめじ屋,吉原町
リコグリル,飯塚
一八飯店,柏の森
パティスリースペリオール,川津
メガネのヨネザワ ゆめタウン飯塚店,菰田西
Cafe Rocco,中
E-REVO卓球BASE,本町
Ｐｓ 美容室,吉原町
にじいろ整体セラピー,飯塚
串かつ 壱番串,柏の森
セブンイレブン飯塚川津店,川津
Life Clip(ライフクリップ),菰田西
カラオケリズミカル サンタス飯塚店,中
タイラ時計店,本町
味の明太子ふくや飯塚店,吉原町
倉重酒店ー酒を愉しみ食を喜ぶー,伊川
おの庄,柏の森
焼肉ソウル,川津
渡辺果実店,菰田西
ステーキビストロWaltz,中
竹川鮮魚,本町
音楽BAR BREAK TIME,吉原町
木原コンタクト,伊岐須
炭火焼肉嘉苑,柏の森
東洋ドライ 川津店,川津
セブンイレブン飯塚下三緒店,下三緒
ツルハドラッグ 中店,中
千鳥屋本家 飯塚本店,本町
丸和カーテン,吉原町
炒めラーメンYAMA,伊岐須
きっずえんじぇる飯塚店,柏の森
東洋ドライ ハローデイ店,川津
ＲａｙーｇーＣａｓｔ（レイジーキャスト）,下三緒
にこにこ亭,中
街家ｃａｆｅつむぎ,本町
や台ずし飯塚バスターミナル本町,吉原町
ドラッグストアコスモス伊岐須店,伊岐須
GYOGYOSUKE second,柏の森
手打うどん・レンストランなごし,川津
(株)九酸ガス住設飯塚営業所,目尾
ふくまＤＥＮＫＩ,中
とりさし梅松 福岡飯塚店,本町
ゆめマート飯塚,吉原町
セブンイレブン飯塚伊岐須店,伊岐須
ワイン食堂GLUGLU,柏の森
内藤園ハローデイ九工大前店,川津
炭火居酒屋喜楽,目尾
ふらってぃーのドッグカフェ,中
はとや ルナ店,本町
龍王塾,吉原町
兵六玉,伊岐須
ケンタッキーフライドチキン飯塚かやの森店,柏の森
ハローデイ九工大前店,川津
セブンイレブン飯塚庄司店,庄司
フロム,中
ひよ子本舗吉野堂 飯塚本店,本町
Ｒｕｄｉｅｓ ｃａｆｅ（ルーディーズ カフェ）,吉原町
