店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category
メリーズラム,潤野,digital,メリーズラム,〒820-0021 福岡県飯塚市潤野１３１３−１,33.64023460000001,130.6578263,生活雑貨
Dr Hair Smiley,柏の森,digital,Dr.Hair Smiley,〒820-0011 福岡県飯塚市柏の森４７３−１,33.6379363,130.7002721,美容室
井筒屋飯塚ショップ,菰田西,digital,井筒屋 飯塚ショップ,〒820-0017 福岡県飯塚市菰田西３丁目６−１,33.6326269,130.6852821,店舗
ＢＡＲＢＥ,新飯塚,digital,BARBE【バルブ】,〒820-0005 福岡県飯塚市新飯塚６−６ 花宅ビル 1階4号室,33.6434919,130.6930596,飲食店
しらゆり会館飯塚・鯰田会場,鯰田,digital,しらゆり会館 飯塚・鯰田会場,〒820-0001 福岡県飯塚市鯰田２３２４−１,33.6607124,130.698298,葬儀場
陶房 八木山 青空間,八木山,digital,陶房 青空間,〒820-0047 福岡県飯塚市八木山１２５０−１,33.6233495,130.6011568,その他
車力,相田,digital,居酒屋 車力（しゃりき）,〒820-0052 福岡県飯塚市相田１１２,33.6563758,130.6623771,飲食店
林檎の木,潤野,digital,林檎の木 りんご飴専門店,〒820-0021 福岡県飯塚市潤野８８５−３０ 竜王ハイツ,33.6348204,130.6667333,飲食店
どんどん亭 柏の森店,柏の森,digital,どんどん亭 柏の森店,〒820-0011 福岡県飯塚市柏の森162?3,33.6436729,130.70287,飲食店
江藤時計店本店,菰田西,digital,江藤時計店本店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚店 2F,33.6325401,130.6852928,健康・医療
深見時計店,新飯塚,digital,深見時計・宝石・メガネ店,〒820-0005 福岡県飯塚市新飯塚１７−１０,33.6432806,130.6912797,店舗
セブンイレブン飯塚鯰田上町店,鯰田,digital,セブンイレブン 飯塚鯰田上町店,〒820-0001 福岡県飯塚市鯰田１９５６−３,33.6668973,130.7001277,コンビニ
農楽園八木山,八木山,digital,農楽園八木山,〒820-0047 福岡県飯塚市八木山２５９,33.639203,130.61974,その他
でんきのパワフル相田店,相田,digital,Panasonic shop でんきのパワフル相田店,〒820-0052 福岡県飯塚市相田３−３８,33.6595232,130.6682982,生活雑貨
メガネのＷＡＤＡ,潤野,digital,（株）メガネのWADA,〒820-0021 福岡県飯塚市潤野３１５−１,33.6301916,130.655872,健康・医療
