店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category,display_category,phone,official_url,google_maps_url,google_summary,raw_description,description,instagram_url,tiktok_url,x_url,facebook_url,youtube_url,line_url,tabelog_url,hotpepper_url,jalan_url
メリーズラム,潤野,both,メリーズラム,〒820-0021 福岡県飯塚市潤野１３１３−１,33.64023460000001,130.6578263,生活雑貨,ショッピング,0948-28-0570,https://maryslamb.jp/,https://www.google.com/maps/place/?q=place_id:ChIJna41Krx_QTURAqY7EpSla9E,見るだけでも楽しくなる✨こちらに有る物に囲まれて生活してみたい👍プレゼント🎁で迷ったらオススメのお店ですね😎 / 先日、34周年を迎えられた雑貨屋さんです。 駐車場は結構広く、台数も結構止めることができます。 敷地内には他店舗もありますが、指定はないので どこに止めても大丈夫です。 お店は、かなり色々なグッズがあ,福岡県飯塚市にあるギフト・生活雑貨店。メリーズラムは潤野地区に位置し、生活雑貨やギフト商品を取り扱っている。,福岡県飯塚市にある36年続く生活雑貨店。インテリア雑貨・ギフトを幅広く扱い、暮らしを彩る。営業時間10:00〜19:30、年中無休（元旦除く）、駐車場30台。,,,,,,,,,
Dr Hair Smiley,柏の森,both,Dr.Hair Smiley,〒820-0011 福岡県飯塚市柏の森４７３−１,33.6379363,130.7002721,美容室,美容・健康,0948-29-2777,https://www.dh-smiley.com/,https://www.google.com/maps/place/?q=place_id:ChIJBzLE_Rl-QTUR8T4mvM2d5GE,知合に勧められて初めて来ました。中は広くて可愛い子供さんが描いた絵が沢山飾られて他では中々見たこと無い店内でした。初めてでドキドキしながらカラーしてもらいましたが、凄く丁寧な仕事されてました。大満足で / カットとカラーとトリートメントしていただきました✂︎今までの中で1番のお気に入りな髪型で嬉し過ぎてルンルン🎶モチベーションUP‼️ 以前通ってた美容室では同じメニューで2万近くお支払いして、しかも価格,福岡県飯塚市のヘアサロン。公式サイトあり。JR新飯塚駅東口から徒歩10分、中島組バス停近く。電話予約・公式LINE対応。スタイル例公開中。,"火～日9:00～20:00（カット最終19:30）。定休:毎週月曜・第三日曜。カット￥3,980。JR新飯塚駅徒歩10分。",,,,,,,,,
井筒屋飯塚ショップ,菰田西,both,井筒屋 飯塚ショップ,〒820-0017 福岡県飯塚市菰田西３丁目６−１,33.6326269,130.6852821,百貨店,ショッピング,0948-22-3130,https://www.izutsuya.co.jp/storelist/,https://www.google.com/maps/place/?q=place_id:ChIJ1wVGeUV_QTUR-P7QdELxJOg,販売員の態度が、凄く悪かった！年配の女性店員！こちらの店舗は、初めて利用しましたが残念でした。 支払い時ポイントカード提示し、ペイペイで代金を支払いしようとすると、頭ごなしに使えませんけどと、怒られま,ゆめタウン飯塚1階にある小型百貨店。ヨックモックなどの菓子ブランドが入り、催事（例:味の兵四郎2026/4/3-5）を開催。TEL:0948-22-3130、営業10-19時（施設準拠）。,ゆめタウン飯塚1階にあるヨックモック取扱小型店。営業時間10:00～19:00（施設に準ず）。TEL:0948-22-3130。菓子類販売。,,,,,,,,,
ＢＡＲＢＥ,新飯塚,both,BARBE【バルブ】,〒820-0005 福岡県飯塚市新飯塚６−６ 花宅ビル 1階4号室,33.6434919,130.6930596,飲食店,グルメ・飲食,0948-43-3447,https://lit.link/barbe,https://www.google.com/maps/place/?q=place_id:ChIJxw4rUyJ-QTUR5Ye1VB1meuE,ランチで4回目くらいです。本当なら予約していく方がいいと思いますが、福岡市内から用事で飯塚に行く時に訪ねるお店で、いつも予約がなくても嫌な顔されず受け入れてもらえるところに安心感があります。 ランチ / 以前から何度か訪れた事はあったけど、こんなに雰囲気もメニューも良く素敵なお店だったっけ❓と思うほど満足でした。また絶対行きます。 ２件目でフラっと立ち寄ったからお腹もまぁ一杯だったからちょびちょびしか,,ランチで4回目くらいです。本当なら予約していく方がいいと思いますが、福岡市内から用事で飯塚に行く時に訪ねるお店で、いつも予約がなくても嫌な顔されず受け入れてもらえるところに安心感があります。,,,,,,,,,
しらゆり会館飯塚・鯰田会場,鯰田,both,しらゆり会館 飯塚・鯰田会場,〒820-0001 福岡県飯塚市鯰田２３２４−１,33.6607124,130.698298,葬儀場,その他,0120-805-129,https://www.yamasou1919.co.jp/ceremonial-hall/9/detail,https://www.google.com/maps/place/?q=place_id:ChIJp8Zn9ezVQzURrh15ageL384,母の時にお世話になりました。 打合せの時から最後まで、こちらの要望にも親身に対応してもらい良い葬儀ができました。親族やご近所の方からも評判が良かったので、しらゆり会館で葬儀をして良かったと思います。 / しらゆりさんから、「北海道歌旅座」に招待していただきました。大変楽しいコンサートでした。最後の抽選会も盛り上がり、いい時間が過ごせました。 当方しらゆり会員ですが、スタッフの方は親切で気持ちが良く、日,福岡県飯塚市鯰田に位置する葬儀場。しらゆり会館の飯塚・鯰田会場で、株式会社やまそうが運営している。葬儀祭壇利用券などのサービスを提供している。,福岡県飯塚市の葬儀場。株式会社やまそう運営。TEL:0948-26-3112、FAX:0948-26-3207。,,,,,,,,,
陶房 八木山 青空間,八木山,both,陶房 青空間,〒820-0047 福岡県飯塚市八木山１２５０−１,33.6233495,130.6011568,ギャラリー,エンタメ・レジャー,0948-22-1339,https://www.jalan.net/kankou/spt_guide000000187041/,https://www.google.com/maps/place/?q=place_id:ChIJk0xW5Y6BQTURbSscbxh-BfM,グループや家族での陶芸体験、電動ろくろ体験など充実している。展示品も種類が多く、陶主の説明が分かりやすい。 / スタジオで過ごす特別な朝は本当に素晴らしかったです。駅まで迎えに来ていただき、スタジオまで車で送っていただきました。先生が全て準備してくれて、今日のアクティビティを説明してくれました。先生はとても親切,陶房青空間は福岡県飯塚市八木山にある陶芸体験施設。宇宙をイメージしたブルーの空間が特徴。手びねりプチ体験コース（2人以上、1時間1グループ、5歳から高齢者OK）、電動ろくろ体験（3個まで焼成）を提供。ギャラリー併設。,"飯塚市八木山の陶房。営業時間10:00～18:00、不定休。電動ろくろ・手びねり陶芸体験（2,800円～）。八木山高原の自然の中で作陶を楽しめる。",,,,,,,,,
車力,相田,both,居酒屋 車力（しゃりき）,〒820-0052 福岡県飯塚市相田１１２,33.6563758,130.6623771,飲食店,グルメ・飲食,0948-24-9159,https://syariki.owst.jp/,https://www.google.com/maps/place/?q=place_id:ChIJm6V1ytt_QTURrzpozr_7LW4,全室個室でゆったり出来ます。 カウンター席も少し有りました。 駐車場は、店の前に2台程止めれる感じで、 向かって左側に第2駐車場？がありました。 こちらは10台以上止めれる感じでした。 料理 / 別にクレームとまでは言わないですが、紙に焼き鳥例えばキモ何本とか印をして頼みますがきた焼き鳥はでたらめの本数ですしお酒を２合頼んだきたのは１合だったので、それは店員さんに言わせてもらいましたが、きた返,飯塚の居酒屋。呼子直送の鯵の活け造りやちゃんこ鍋、串焼きが人気。新鮮刺身、創作料理、団体送迎あり。17:00～23:30営業、無休。専用駐車場完備。,飯塚の居酒屋。和食・鍋料理・一品料理が楽しめる。TEL:0948-24-9159。クーポン・口コミあり。,,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40016083/,https://www.hotpepper.jp/strJ000569613/,
林檎の木,潤野,both,林檎の木 りんご飴専門店,〒820-0021 福岡県飯塚市潤野８８５−３０ 竜王ハイツ,33.6348204,130.6667333,飲食店,グルメ・飲食,,https://www.ringonoki0320.com/,https://www.google.com/maps/place/?q=place_id:ChIJF_eWcl5_QTURTyYOQ3g2RPk,キッチンカーからのリピーターです。 使用されている、りんごにもこだわっているので、とっても美味しいです☺️ プレーンは勿論のこと、他にも色々種類があります。ジューシーなりんごと、ベストマッチであっとい / 人生で初めて美味しいと思った林檎飴！ ここの林檎飴を食べたら他、食べれないです。 林檎が美味しい。 丸々購入、カットもしてくれます。 キッチンカーで出会っても必ず購入。 写真は期間限定チョコレート,りんご飴専門店。国内産高級りんごにオリジナル飴をコーティング。メニュー:プレーン600円、ホワイトチョコ700円、カラースプレー800円など。旬のりんご販売あり。元キッチンカーから実店舗オープン、家族DIY内装。口コミで「人生初の美味しいりんご飴」と高評価。,りんご飴専門店。旬の国産りんご使用。プレーン600円など。11:00-18:00(水土定休)。テイクアウト専門、駐車場有。,https://www.instagram.com/ringonoki0320,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40072852/,,
どんどん亭 柏の森店,柏の森,digital,どんどん亭 柏の森店,〒820-0011 福岡県飯塚市柏の森162?3,33.6436729,130.70287,飲食店,グルメ・飲食,0948-28-8512,https://www.dondontei.com/,https://www.google.com/maps/place/?q=place_id:ChIJ0z56VBx-QTURIKam72UVH7M,自分で作るから楽しいお好み焼き屋さんです。出来るまでに時間かかるので、必ず何か別注文して生ビール飲みます。クーポンで生ビール一杯無料になります。もんじゃ焼き注文したいけど、自分で作ったことないので怖く / （2024.07.05） 久しぶりに夜ご飯でやって来ました。 2人で、もんじゃ焼き（下町ラーメンもんじゃ）・お好み焼き（肉ミックス玉）・キャベツの塩昆布サラダ・ごはんセットをタブレットで注文しました。,福岡発のお好み焼きレストラン。関西風・広島風・福岡風のお好み焼きのほか、焼きそば・もんじゃ焼き・鉄板焼きなどを提供。食べ放題やセットメニュー、ランチ対応あり。UberEATS・出前館での配達対応。,福岡県飯塚市のお好み焼き店。関西風・広島風・福岡風を提供、食べ放題あり。平日11:30～15:30/17:00～24:00、土日祝11:00～24:00。,,,,,,,,,
江藤時計店本店,菰田西,both,江藤時計店本店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚店 2F,33.6325401,130.6852928,健康・医療,美容・健康,0948-22-0480,https://eto-group.net/,https://www.google.com/maps/place/?q=place_id:ChIJG2OWYTd-QTURmt3B8kbewpY,老舗の時計店が商店街から移転。 オープンに行って来ましたが、時計も宝石もリーズナブルな物から幅広くありました。 何より、清潔感がある店内、スタッフの対応も良く、明るい声で呼びかけていました。 なんだか / 先日、若い頃に祖母に誕生日プレゼントで買ってもらった腕時計の修理をお願いしました。若い人向けの安価な古い時計で長年愛用していたため、傷だらけで針も止まってしまっていました。 正直こんなボロボロの時計を,,ゆめタウン飯塚2Fに位置する時計・宝石販売・買取修理メンテナンス店。1935年創業、創業88周年。営業時間10:00~19:00。,,,,,,,,,
