name,category,address_raw,address,phone,website,facebook,instagram,digital,paper
(有)エッカ,住宅設備工事・リフォーム業,堀池,〒820-0070 福岡県飯塚市堀池154-9,0948-23-0800,https://ekka.jp,,,True,True
(株)バイタルリソース応用研究所,エラスチン原料・健康食品・化粧品開発製造,川津,〒820-0067 福岡県飯塚市川津680-41,0948-29-5410,http://www.pure-elastin.com/,,,True,True
(株)九酸ガス住設飯塚営業所,プロパンガス販売,目尾,〒820-0062 福岡県飯塚市目尾398 Q-SANビル1階,0948-22-6024,https://www.q-san.co.jp,,,True,True
(株)本河住建,建築業,柏の森,〒820-0011 福岡県飯塚市柏の森75-1,0948-23-6097,http://www.honkawa-jyuken.com,,,True,True
AOKI飯塚店,紳士服店,秋松,〒820-0083 福岡県飯塚市秋松895-1,0948-26-8288,https://www.aoki-style.com/shop/store/0663,,,True,True
ATAGOふれあいマーケット,スーパーマーケット,鯰田,〒820-0001 福岡県飯塚市鯰田2525番地310,0948-25-3771,,,,True,True
AVENUE,不明,菰田西,〒820-0017 福岡県飯塚市菰田西3-6-1 ゆめタウン飯塚内 2F,0948-24-6690,,,@pinore.official @cecica_blue @judycollection_official,False,True
BLACK STEELO,ダンススタジオ,有井,〒820-0102 福岡県飯塚市有井354-21,0948-82-1979,,,,True,True
Basis health&beauty,エステ,椋本,〒820-0044 福岡県飯塚市横田516-6ラグエクリュC17号,080-8875-0074,,,,True,True
BookOFF飯塚店,中古本・中古家電販売,小正,〒820-0089 福岡県飯塚市小正5,0948-23-6500,https://www.bookoff.co.jp/shop/shop10773.html,,,False,True
Cafe CuLuRe(カフェ クルール),カフェ,堀池,〒820-0070 福岡県飯塚市堀池179-2,0948-21-3750,https://culure.jp/cafeculure/,,,True,True
Cafe Rocco,イタリアン,中,〒820-0065 福岡県飯塚市中431-1,0948-52-3490,https://www.cafe-rocco.com,,,True,True
