店舗名称,住所,digital,paper
(有)エッカ,堀池,True,True
(株)バイタルリソース応用研究所,川津,True,True
(株)九酸ガス住設飯塚営業所,目尾,True,True
(株)本河住建,柏の森,True,True
AOKI飯塚店,秋松,True,True
ATAGOふれあいマーケット,鯰田,True,True
AVENUE,菰田西,False,True
BLACK STEELO,有井,True,True
Basis health&beauty,椋本,True,True
BookOFF飯塚店,小正,False,True
Cafe CuLuRe(カフェ クルール),堀池,True,True
Cafe Rocco,中,True,True
Café＆Restaurant Salute（サルーテ）,立岩,False,True
CuLuRe(クルール),堀池,True,True
Cut in Murashi,飯塚,True,True
DartsBar333,新飯塚,True,True
Dr Hair Smiley,柏の森,True,True
E-REVO卓球BASE,本町,True,True
ENEOSサンフラワー楽市SS（山口石油）,楽市,True,True
Flower&Green POPLAR,枝国,True,True
GYOGYOSUKE second,柏の森,True,True
KAIKA ゆめタウン飯塚店,菰田西,True,True
Life Clip(ライフクリップ),菰田西,True,True
M r.青木精肉店,鶴三緒,False,True
Modernist Cuisine Restaurant Hidaka,赤坂,True,True
PATISSERIE Doux,柏の森,True,True
R－GARDEN+,吉原町,True,True
TAX飯塚,楽市,True,True
TRIAL GO飯塚幸袋店,幸袋,True,True
TRIDRUG GO目尾店,口原,True,True
TeaWayゆめタウン飯塚店,菰田西,True,True
WHISKY AJOTSSI,飯塚,True,True
Zoff Marche ゆめタウン飯塚,菰田西,True,True
aruk cafe,川津,True,True
arukーある暮らしー,川津,True,True
charmmie,枝国,True,True
tantan イオン穂波店,枝国,True,True
tete秋松店,秋松,True,True
universal工房HRS,若菜,True,True
あかね工房,鯰田,True,True
あかね荘,山口,True,True
あぐらの離れ,芳雄町,True,True
あげ家,相田,False,True
あさひ補聴器,宮町,True,True
あったかパソコン教室飯塚校,椿,True,True
あんど,吉原町,False,True
いいづかもけい,菰田西,True,True
いいづかスポーツ・リゾート ザ・リトリート,仁保,True,True
いいづか補聴器,本町,False,True
いけす鯛吉,吉原町,False,True
いづみや,西徳前,True,True
うぐいす台電器,大分,True,True
うどんそば処あぐんちゃ,忠隈,False,True
うどんそば処百花亭,柏の森,False,True
うなぎの大浦屋,吉原町,False,True
うりゅう鍼灸院,鯰田,True,True
おしゃれハウスアモ,柏の森,True,True
おでん炭火焼眞次郎,新飯塚,True,True
